Frequency,Channel 1,Channel 2,Channel 2
602.56,-14.5717,-47.3887,-148.461
630.957,-14.9453,-48.5347,-155.544
660.693,-15.3183,-50.1597,-166.02
691.831,-15.6873,-51.4379,-171.995
724.436,-16.0556,-52.8472,173.346
758.578,-16.4225,-53.0743,154.479
794.328,-16.7861,-54.3264,143.269
831.764,-17.1495,-53.814,123.817
870.964,-17.5086,-52.5031,112.218
912.011,-17.8667,-51.1019,102.148
954.993,-18.224,-50.0402,96.3732
1000,-18.5738,-48.8028,89.539
